Latitude	Longitude	Poster Category	Easel Board	Poster Title	Students	Faculty
34.1061182	-117.71183	Biology	B-1	Modeling a Microbial Fuel Cell with KBase	Taylor Baugh	Sarah Owens, Argonne National Laboratory. Stephanie M Greenwald, Argonne National Laboratory.
34.1061317	-117.71183	Biology	B-2	The Impact of CG2658 on Drosophila melanogaster	Aum Pechkamnerd, Kris A. Chang, Tracy Han, Alykhan A. Rajan	Professor Jae H. Hur
34.1061452	-117.71183	Biology	B-3	Using a dCas9 Bdf3 Protein Complex to Determine the Effect of Bdf3 on Differentiation in Trypanosoma brucei	Ashley Tan, Ethan Goroza, Brecken Enright, Alessandra Ela	Danae Schulz
34.1061587	-117.71183	Biology	B-4	Unique Octocoral Communities of Oman	Josie Nelson	Prof. McFadden
34.1061722	-117.71183	Biology	B-5	Investigating the Effects of Chromatin Interacting Proteins on Life Cycle Differentiation in T. brucei	Brecken Enright, Alessandra Ela, Ethan Goroza, Fumi Tanizawa	Dr. Danae Schulz, Harvey Mudd College
34.1061859	-117.71183	Biology	B-6	How Flight Motors Compare Across Flies	Marissa Douglas	Michael Dickinson, California Institute of Technology
34.1061859	-117.71185	Biology	B-7	Characterizing the Effect of the Extravascular Environment on Trypanosoma brucei Antigenic Diversity	Fumi Tanizawa	Prof. Monica Mugnier, Johns Hopkins University
34.1061859	-117.711863	Biology, Chemistry	BC-1	Understanding Probiotic Growth: Lacticaseibacillus Rhamnosus	Irene Jung	Prof. Spencer Brucks, Harvey Mudd College
34.1061859	-117.711876	Biology, Computer Science	BCS-1	Probabilistic Time Series Modeling of Tumor Growth in Patient-Derived Xenografts	Rohan Subramanian	Dr Wesley Tansey, Memorial Sloan Kettering Cancer Center
34.1061859	-117.711889	Biology, Engineering	BE-1	Dynamic CD4 T cell Motility as a Biomarker of Senescence	Gabrielle Reynolds, LaDaisha Thompson, Chanhong Min	Dr.Jude Phillip, Johns Hopkins
34.1061859	-117.711902	Biology, Engineering	BE-2	Extracellular Vesicle Production as a Function of Culture Conditions	Caiya Coggshall, Josiah Garan, Jonathan Tabb	Professor Steven Santana
34.10608	-117.71183	Chemistry	C-1	Unravelling the Mechanism of Peptide Hydrogel Assembly	Zoe He	Prof. Bilin Zhuang
34.10607	-117.71183	Chemistry	C-2	One Dimensional Coordination Polymers	Kayla Long	Prof Healy
34.10606	-117.71183	Chemistry	C-3	Detangling the MOF Mystery	Tanner Gasteazoro, Sam Wheeler	Colm Healy
34.10605	-117.71183	Chemistry	C-4	Greener Syntheses and Shape-Dependent Degradation of Polynorbornenes	Britney Baez, Grey Karis-Sconyers	Prof. Spencer Brucks
34.10604	-117.71183	Chemistry	C-5	Development of Potential Energy Surfaces for Ionic Liquids using Artificial Neural Networks	Edward Donson	Prof. Sandra Brown
34.10603	-117.71183	Chemistry	C-6	PbS:I,Cl Thin-Film Quantum Dot-Based Photovoltaics	Leif Shomali, Jimmy Boyle, Claire Stuvland	Hal Van Ryswyk
34.10602	-117.71185	Chemistry	C-7	Effect of Dipole Asymmetry on the Interfacial Behavior of Polar Fluids	Ananya Venkatachalam	Prof. Zhen-Gang Wang, Caltech
34.10602	-117.7118644	Chemistry	C-8	Mild, Green Acylation of Carbon Nucleophiles Using TCFH-NMI	Johnson Ho, Grant Miller	Prof. David Vosburg
34.10602	-117.7118789	Chemistry	C-9	Expanding the scope of cationic-anionic sequential polymerization for block copolymers	Nora O'Connor	Jessica Lamb, University of Minnesota
34.10602	-117.7118933	Chemistry	C-10	Synthesis and Characterization of Norbornene-Based Bottlebrush Polymers and Gels	Nicole Fang	Prof. Spencer Brucks
34.10602	-117.7119078	Chemistry	C-11	How Do Big Sugars Get Filtered Out From Our Blood	Selina Yao	Prof. Bilin Zhuang
34.10602	-117.7119222	Chemistry	C-12	Pure water a mixture?	Diya Sanghi	Prof Bilin Zhuang
34.10602	-117.7119367	Chemistry	C-13	Predicting Water Clusters Around Succinimides	Yuki Watanabe	Prof. Bilin Zhuang
34.10602	-117.7119511	Chemistry	C-14	Synthesis of Isotopologues of Succinimide for Rotational Spectroscopy	Amir Gonzalez Camahco	Alicia Hernandez-Castillo
34.10602	-117.7119656	Chemistry	C-15	Improvements made to REMPI and Microwave Spectroscopy Experimental Setup	Cameron Warmerdam, Channing Christian	Hernandez Castillo
34.10602	-117.71198	Chemistry	C-16	Exploring Biology Through Chemical Synthesis	Oriole Song	David Vosburg
34.10602	-117.712029	Chemistry	C-17	Fitting Experimental Spectra using XIAM and PGOPHER	Huanhuan Huang	Prof. HC
34.10602	-117.7120545	Chemistry, Engineering, Physics	CEP-1	Calculating Volume Shrinkage during the Liquid-Solid Phase Change of Complex Metal Alloys using Computational Methods	Audrey Thiessen, Carleton Imbens	Lori Bassman
34.10602	-117.71208	Chemistry, Hixon Center	CHC-1	Processing Eddy Covariance Data	Matthew Simpson	Prof. Sarah Kavassalis
34.1061859	-117.711915	Computer Science	CS-1	Code metrics	Jenny Ngo, Florence Rui Lin, Yuan Garcia	Professor Zachary Dodds
34.1061859	-117.711928	Computer Science	CS-2	WasteWise: Greener Habits Starts Here	Terence Chen, William Koh, My Nguyen	Zach Dodds, Mike Izbicki
34.1061859	-117.711941	Computer Science	CS-3	An Analysis of Network Overhead in Distributed TinyML	Alan Gutierrez, Ket Hollingsworths	Prof. Arthi
34.1061859	-117.711954	Computer Science	CS-4	Evaluating the stability of monocular depth models	Jessica Huang	Prof. Calden Wloka
34.1061859	-117.711967	Computer Science	CS-5	How Does Prior Knowledge Affect Attention?	Lyra Cromwell, Jadyn Iinuma	Calden Wloka
34.1061859	-117.71198	Computer Science	CS-6	Visualizations for Deep Spatiotemporal Networks: Effective Metrics for Class Activation Mapping (CAM)	Diane Park, Alex Silver	Prof. Calden Wloka
34.1061859	-117.7120273	Computer Science	CS-7	HELP: Hierarchical Embeddings-based Log Parsing	Andy Xu	Arno Gau, Iudex AI
34.1061859	-117.7120444	Computer Science, Hixon Center	CSHC-1	We’ve Been Saying the Same Thing for 20 Years: The Disabled Experience with Climate Change and Climate Action	Lily Anfang, Kaitlynn Gray, Ethan Sandoval	Prof Lynn Kirabo
34.1061859	-117.7120615	Computer Science, Hixon Center	CSHC-2	Constructing Understandable Climate Models using Graph Neural Networks	Mia Mirabelli	Prof. Sarah Kavassalis
34.1061859	-117.7120786	Computer Science, Hixon Center	CSHC-3	Upscaling Carbon Flux: Variations in Performance	Anna Figge	Prof. Sarah Kavassalis
34.106007	-117.7117806	Computer Science, Mathematics	CSM-1	Analyzing Wrongful Incarceration Using Large Language Models	Shreya Balaji, Dakota Lin, Anshuman Singh, Kyle Torres	Prof. Deanna Needell, University of California, Los Angeles & Dr. Minxin Zhang, University of California, Los Angeles
